习惯;xíguàn;habit,get used to
作息;zuòxi;work and rest
按时;ànshí;punctual, on schedule
规律;guīlǜ;regular pattern
夜猫子;yèmāozi;a person who goes to bed late,night owl
搞;gǎo;to do, to make
没想到;méi xiǎng dào;didn't expect
教育;jiàoyù;to educate
逼;bī;to force (sb to do sth
压力;yālì;pressure
接受;jiēshòu;to accept
小孩;xiǎohái;child
独立;dúlì;independent
重视;zhòngshì;to attach importance to sth, to value
培养;péiyǎng;to cultivate,to educate
份;fèn;measure word for document, paper, portion, part
环保;huánbǎo;environmental protection
一次性;yícixìng;one-time
餐盒;cānhé;meal box
装;zhuāng;to hold
回收;huíshōu;to recycle
街;jiē;street
塑料袋;sùliàodài;plastic bag
绿地;lǜdì;afforested land
型;xíng;type
花;huā;to spend
改变;gǎibiàn;to change, to alter
浪费;làngfèi;to waste, to squander
后悔;hòuhuǐ;to regret
月光族;yuèguāng zú;those who spend their monthly income even before their next salary
月初;yuèchū;early in the month
长期;chángqī;long term,
存款;cúnkuǎn;bank savings
尽量;jìnliàng;as much as possible
信用卡;xìnyòngkǎ;credit card
付费;fùfèi;to pay
安全;ānquán;safe
当时;dāngshí;at that time, while
名片;míngpiàn;business cards
该;gāi;should
肯;kěn;willing
现金;xiànjīn;cash
往往;wǎngwǎng;often, frequently
确认;què rèn;to confirm
千万;qiānwàn;to be sure, must
着凉;zháoliáng;to catch a cold
区别;qū bié;difference
早晚;zǎowǎn;sooner or later
一时;yīshí;a short while, temporary
总算;zǒngsuàn;finally
精神;jīngshén;mental , mind, energy
异常;yìcháng;unusal , abnormal
降温;jiàngwēn;to become cooler
开玩笑;kāiwánxiào;to joke
长城;chángchéng;The Great Wall
参观;cānguān;to tour, to visit
乘坐;chéngzuò;to ride
代表;dàibiǎo;to represent
熊猫;xióngmāo;panda
当地;dāngdì;local
值得;zhídé;be worth
四川;sìchuān;Sichuan, a province in southwest China
适应;shìyìng;to adapt
推销;tuīxiāo;to promote, to sell
顺利;shùnlì;smoothly
能力;nénglì;ability
态度;tàidù;attitude
充分;chōngfèn;full,ample,aboundant
固然;gùrán;admittedly (it's true that...)​
诚实;chéngshí;honest
起码;qǐmǎ;at the minimum, at the very least
优势;yōushì;advantage
不足;bùzú;insufficient, lacking
习俗;xísú;custom, convention
传统;chuántǒng;tradition
之间;zhī jiān;between
其中;qízhōng;among (which,them.etc)
心意;xīnyì;mind, intention, regard
分离;fēnlí;to separate
梨;lí;pear
夫妻;fūqī;couple
礼貌;lǐmào;politeness
尊重;zūnzhòng;to esteem, to respect, to honor, eminent, serious
进行;jìnxíng;to advance, underway, in progress, to do, to carry out
表示;biǎoshì;to express, to show, to say, to state, to indicate, to mean
敬酒;jìngjiǔ;to toast, to propose a toast
尊敬;zūnjìng;to respect, to revere
主人;zhǔrén;master, host, owner
酒席;jiǔxí;feast, banquet
客气;kèqi;polite, courteous, modest
风味;fēngwèi;flavor
餐具;cānjù;tableware
素;sù;vegetarian
做东;zuòdōng;to play the host, to host sb
讲究;jiǎngjiū;to be particular about, stress
撑;chēng;full
也好;yěhǎo;may as well
看法;kànfǎ;opinion
报导;bàodǎo;report
分之;fēnzhī;how fraction being said in Chinese
人民;rénmín;citizen
赞成;zànchéng;to approve
游行;yóuxíng;to parade, march, demonstrate
反对;fǎnduì;to oppose
大学生;dàxuéshēng;college student
支持;zhīchí;to support
原因;yuányīn;reason
学费;xuéfèi;school fee
确实;quèshí;indeed
贷款;dàikuǎn;loan
申请;shēnqǐng;to apply
不得不;bùdébù;not only/have to
烦人;fánrén;annoying
高峰时期;gāofēng shíqī;rush hour,peak time
堵塞;dǔsè;to block
反正;fǎnzhèng;anyway
花销;huāxiāo;expenses,costs
非得;fēiděi;have to, must
早知道;zǎo zhīdào;(if sb）have known that......
停车位;tíngchēwèi;parking space
客满;kèmǎn;full
价格;jiàgé;price
情人节;qíngrén jié;Valentine's Day
浪漫;làngmàn;romantic
提出;tíchū;to come up with, raise , propose
商量;shāngliɑng;to discuss
失望;shīwàng;disappoint
节日;jiérì;festival
程序;chéngxù;procedure
普通;pǔtōng;common
医疗;yīliáo;medical
生命;shēngmìng;life
多;duō;(used in exclamations )to what an extant
忍耐;rěnnài;to bear with, endure
发炎;fāyán;to become inflamed
不同;bùtóng;difference
费用;fèiyòng;fee, cost
公寓;gōngyù;apartment
出租;chūzū;to rent
仲介;zhòngjiè;agent
联系;liánxì;to contact
阳台;yángtái;balcony
水电费;shuǐdiàn fèi;utility fee
套间;tàojiān;small inner room
响;xiǎng;to ring, to sound
一大早;yí dà zǎo;early in the morning
小镇;xiǎo zhèn;town
急事;jíshì;urgent matter, pressing matter
傍晚;bàngwǎn;toward evening, at dusk, at night fall
惊讶;jīngyà;amazed, to surprised, astonished
拍;pāi;to pat, to clap, to swat
失约;shīyuē;to miss appointment
年纪;niánjì;age
中年人;zhōng nián rén;middle age person
拔掉;bá diào;to pull off
过（to pass );guò;to pass
根（Measure word);gēn;Measure wordfor long slender objects
笑话;xiàohuà;joke
句;jù;Measure word for Phrases or lines of verse
压岁钱;yāsuìqián;money given for children as a New Year’s present
一部分;yībùfèn;part of it
过（to celebrate）;guò;to celebrate
新年;xīnnián;New Year
红包;hóngbāo;red envelope
道理;dàolǐ;principle
零花钱;línghuā qián;pocket money
允许;yǔnxǔ;to allow
乱（+v）;luàn;random
着名;zhùmíng;famous
首都;shǒudū;capital
目的地;mùdìdì;destination
流行;liúxíng;popular
脏;zāng;dirty
古代;gǔdài;ancient time
民族;mínzú;nationality, ethnic, group
解释;jiěshì;explanation, to explain
冷静;lěngjìng;calm
理解;lǐjiě;to understand, to comprehend
脾气;píqì;temper
巧克力;qiǎokèlì;chocolate
受不了;shòu bùliǎo;can't stand, to be unable to stand sth.
激动;jīdòng;to move emotionally, to excite
灾害;zāihài;disaster
地区;dìqū;area
引起;yǐnqǐ;to cause, to lead, to give rise to
结果;jiéguǒ;results, conclusion, as a result, in the end
地震;dìzhèn;earthquake
台风;táifēng;typhoon
提醒;tíxǐng;to remind, to call, attention to, to warn of
意外;yìwài;accident
感谢;gǎnxiè;thanks, grateful, thankful
十分;shífēn;very
身边;shēnbiān;at one’s side, on hand
目前;mùqián;currently
祝贺;zhùhè;to congratulate
受到;shòudào;to receive
获得;huòdé;to obtain, to get
及时;jíshí;immediate
自信;zìxìn;confidence
表扬;biǎoyáng;to praise, to commend
题;tí;question
主动;zhǔdòng;to take initiative
接近;jiējìn;to approach, to get close to
上学;shàngxué;to go to school
水平;shuǐpíng;level, standard
渐渐;jiànjiàn;gradually
离开;líkāi;to leave
诚实;chéngshí;honesty
骄傲;jiāo'ào;proud, pride, arrogance
方面;fāngmiàn;field, side, aspect
害羞;hàixiū;shy, embarrassed
表情;biǎoqíng;to express, expression, facial expression
特征;tèzhēng;characteristic, feature, trait
人物;rénwù;person, character
准确;zhǔnquè;accurate, exact, precise
印象;yìnxiàng;impression
向导;xiàngdǎo;guide
重新;chóngxīn;again, once more
到时候;dào shíhou;when the time comes, at that time
T恤衫;T xùshān;T-shirt
号码;hàomǎ;number
打扰;dǎrǎo;to disturb, to bother, to trouble
关系;guānxì;relation, relationship, related to
幽默;yōumò;humor
条件;tiáojiàn;condition, term
卧室;wòshì;bedroom
家具;jiājù;furniture
客厅;kètīng;living room
洗衣机;xǐyījī;washing machine
位置;wèizhì;place, location, site
随时;suíshí;at all times, any time
参考;cānkǎo;to consult, to refer to, reference
航空公司;hángkōng gōngsī;airline company
单程;dānchéng;one way, one path
