挨着;āi zhe;"next to; close to"
挨;ái;Next to
挨打;ái dǎ;"take a beating; get a thrashing; come under attack"
安检;ān jiǎn;security check
罢工;bàgōng;Strike
罢了;bà le;"let it pass; that’s all; (auxiliary word)"
白领;bái lǐng;"white collar; white collar worker"
百分点;bǎi fēn diǎn;percentage point
办公;bàn gōng;"work; handle official business; work in an office"
办事处;bàn shì chù;"office; agency"
办学;bàn xué;run a school
半决赛;bàn jué sài;semifinal
傍晚;bàngwǎn;Evening
保健;bǎo jiàn;"health protection; health care"
报刊;bào kān;"newspapers and periodicals; press"
报考;bào kǎo;"register for examination; sign up for an examination"
抱歉;bàoqiàn;feel sorry
暴风雨;bào fēng yǔ;"rainstorm; storm; tempest"
暴力;bàolì;violence
暴露;bàolù;Expose
暴雨;bào yǔ;"torrential rain; rainstorm; scat"
爆;bào;"explode; burst; quick-fry"
爆发;bàofā;burst
爆炸;bàozhà;blast
悲惨;bēicǎn;miserable
背心;bèi xīn;"vest; sleeveless garment; sleeveless"
背着;bèi zhe;behind one’s back
被告;bèigào;Defendant
奔跑;bēn pǎo;run
本（代、副）;běn;"this; originally"
本地;běn dì;"this locality; local; native"
本期;běn qī;current period
本身;běnshēn;itself
本土;běn tǔ;"mainland; one’s native country; metropolitan territory"
本质;běnzhì;essence
逼;bī;"compel; force; drive; exert; press on; close; narrow"
笔试;bǐ shì;written examination
必将;bì jiāng;"will certainly; surely will"
必修;bì xiū;"obligatory; compulsory; required"
闭;bì;"close; shut; obstruct; stop up"
边缘;biānyuán;edge
编制;biān zhì;"authorized strength; work out; draw up; compile"
扁;biǎn;flat
变更;biàn gēng;"change; alter; modify"
变换;biàn huàn;"transform; convert; vary; alternate"
变形;biàn xíng;"deform; be out of shape; deformation; morph"
便;biàn;then
便是;biàn shì;that’s it
遍地;biàn dì;"everywhere; all around"
表面上;biǎo miàn shàng;"superficial; ostensible; apparent; apparently"
病房;bìng fáng;"ward of a hospital; sickroom"
病情;bìng qíng;"state of an illness; patient’s condition"
拨打;bō dǎ;dial
波动;bō dòng;"undulate; fluctuate; surge; undulation; fluctuation; wave motion"
波浪;bōlàng;wave
播;bō;"broadcast; spread; seed; sow; move about"
不便;bú biàn;"inconvenient; unsuitable; be short of cash"
不见;bú jiàn;"not see; not meet"
不料;búliào;Unexpectedly
不再;bú zài;"no longer; no more"
不至于;bú zhì yú;"cannot go so far; be unlikely to"
补考;bǔ kǎo;makeup examination
补课;bǔ kè;make up missed lessons
补习;bǔ xí;take lessons after school or work
补助;bǔ zhù;"subsidy; subsidize; allowance"
捕;bǔ;"catch; seize; arrest"
不成;bù chéng;"won’t do; fail"
不禁;bùjīn;Can not help but
不仅仅;bù jǐn jǐn;"not just; not only; more than"
不通;bù tōng;"be blocked up; be impassable; not make sense; be illogical"
不怎么;bù zěn me;"not particularly; not very"
不怎么样;bù zěn me yàng;"not up to much; very indifferent"
不值;bù zhí;not worth
布满;bù mǎn;be full of
部队;bù duì;"army; armed forces; troop; unit"
采纳;cǎinà;accept
踩;cǎi;step on
参赛;cān sài;"take part in match; enter the competition"
参展;cān zhǎn;"take part in an exhibition; participate in an exhibition"
餐;cān;"food; meal; eat"
残疾;cánjí;A disability
残疾人;cán jí rén;"handicapped; disabled person"
残酷;cánkù;cruel
惨;cǎn;"miserable; wretched; tragic; cruel; badly"
仓库;cāngkù;Warehouse
藏;cáng;"hide; conceal; store; lay by"
操纵;cāozòng;control
厕所;cèsuǒ;Toilet
侧;cè;"side; incline; lean"
测定;cè dìng;"determine; determination; measurement"
策划;cèhuà;"plan; hatch; plot"
策略;cèlüè;"tactic; policy"
层面;céng miàn;level
差异;chā yì;"difference; divergence; discrepancy; diversity"
查出;chá chū;"trace; find out; discover; find out"
查看;chá kàn;"look over; examine; check"
拆迁;chāi qiān;"demolition; relocation"
产量;chǎn liàng;"output; yield; volume of production"
昌盛;chāngshèng;Prosperity
长短;cháng duǎn;"short and long; length; accident; extent"
长假;cháng jià;"long holiday; long leave"
长久;cháng jiǔ;"for a long time; muchly"
长跑;cháng pǎo;"long-distance race; long distance run"
长远;cháng yuǎn;"long-term; long-range; enduring; chronic"
常规;cháng guī;"conventional; common; routine"
常年;cháng nián;"perennial; year in year out; average year"
厂商;chǎng shāng;"manufacturer; firm; factory owner"
场地;chǎng dì;"space; place; site"
场馆;chǎng guǎn;"venue; stadium"
场景;chǎng jǐng;scene
畅通;chàngtōng;"unimpeded; unblocked"
超;chāo;"exceed; surpass; overtake; go beyond"
超出;chāo chū;"overstep; go beyond; exceed"
炒;chǎo;fry
炒股;chǎo gǔ;invest in stocks
炒作;chǎo zuò;hype
车号;chē hào;"car number; wagon number"
车牌;chē pái;"licence plate; plate number"
车展;chē zhǎn;"auto show; car exhibition"
撤离;chè lí;"withdraw; leave; evacuate"
撤销;chèxiāo;"repeal; retract"
撑;chēng;"prop; support; push with a pole; keep up; unfurl; brace; stay"
成（量）;chéng;(measure word)
成分;chéngfèn;component
成品;chéng pǐn;"end product; finish product"
承诺;chéngnuò;Promise
城区;chéng qū;"the city proper; urban area; city subdivision"
城乡;chéng xiāng;"urban and rural; city and countryside"
城镇;chéng zhèn;"town; city"
持有;chí yǒu;"hold; possess"
冲击;chōngjī;To attack
重建;chóng jiàn;"rebuild; reconstruct; reestablish; rehabilitate; reconstruction"
重组;chóng zǔ;"reorganization; regroup"
崇拜;chóngbài;worship
宠物;chǒngwù;Pet
冲;chōng;punching
出场;chū chǎng;"come on the stage; enter the arena"
出动;chū dòng;"dispatch; start off; call out"
出访;chū fǎng;visit a foreign country
出路;chūlù;way out
出面;chū miàn;"come forward; appear personally"
出名;chū míng;"famous; well-known"
出入;chū rù;"come in and go out; discrepancy; divergence"
出事;chū shì;"meet with a mishap; have an accident"
出台;chū tái;"introduced; be published"
出行;chū xíng;"travel; trip; getting around"
初等;chū děng;"elementary; primary; rudimentary"
除;chú;except
厨师;chú shī;"chef; cook"
储存;chǔcún;Storage
处处;chù chù;"everywhere; in all respects"
处长;chù zhǎng;"the head of a department; section chief"
传出;chuán chū;"efferent; come out; come through"
传媒;chuán méi;media
传输;chuán shū;"transmission; transport"
传言;chuán yán;"hearsay; rumour; pass on a message"
船员;chuán yuán;"crew; crewman; waterman"
船长;chuán zhǎng;"captain; skipper"
船只;chuán zhī;"ship; vessel; craft"
串;chuàn;strand, cluster
窗口;chuāng kǒu;"window; wicket"
创办;chuàng bàn;"establish; found"
创建;chuàng jiàn;"found; establish; creation"
创意;chuàng yì;creativity
此处;cǐ chù;"here; this place"
此次;cǐ cì;this time
此前;cǐ qián;before
此事;cǐ shì;this matter
此致;cǐ zhì;"regards; sincerely; with the best wishes"
次数;cì shù;"frequency; number of times"
从不;cóng bù;"never; never ever"
从没;cóng méi;"never;  never did"
醋;cù;vinegar
村庄;cūn zhuāng;"village; hamlet"
错过;cuò guò;"miss; let slip"
搭;dā;to match, to take
搭档;dādàng;partner
搭配;dāpèi;"arrange; match"
打动;dǎ dòng;"move; touch"
打断;dǎ duàn;"break; interrupt; fracture"
打发;dǎ fa;"send; dispatch; dismiss"
打官司;dǎguānsi;To engage in a lawsuit
打牌;dǎ pái;"play cards; play mah-jong"
打印机;dǎ yìn jī;printer
打造;dǎ zào;"build; make; creation"
大道;dà dào;"main road; avenue"
大街;dà jiē;"avenue; street; main street"
大力;dà lì;"energetic; energetically; vigorously"
大米;dà mǐ;rice
大批;dà pī;"large quantity; a smart of; legion"
大赛;dà sài;contest
大师;dà shī;"great master; grandmaster; master"
大使;dà shǐ;"ambassador; envoy"
待会儿;dāi huìr;"after a while; later"
担忧;dān yōu;"worry; be anxious; trepidation"
单打;dān dǎ;singles
诞生;dànshēng;Be born
党;dǎng;party
当;dāng;When
当成;dāng chéng;"regard; treat as; take"
当天;dāng tiān;that day
当作;dàng zuò;"regard as; treat as"
档;dàng;"pigeonhole; files; archives; crosspiece; grade"
档案;dàng’àn;archives
岛;dǎo;island
到期;dào qī;"mature; expire; become due; maturity"
盗版;dào bǎn;"piracy; illegal copy"
道教;dào jiào;Taoism
道歉;dàoqiàn;apologize
低头;dī tóu;"head down; lower one’s head; submit"
低温;dī wēn;"Low temperature; hypothermia; microtherm"
滴;dī;drop
抵达;dǐdá;Arrive
抵抗;dǐkàng;resistance
地板;dì bǎn;floor
地名;dì míng;place name
地下室;dì xià shì;"basement; cellar"
电车;diàn chē;"tram; tramcar; streetcar; trolleybus; trolley"
电动;diàn dòng;"motor-driven; power-driven; electric"
电力;diàn lì;"electricity; electric power"
电器;diàn qì;"electric appliance; electrical equipment"
吊;diào;crane
调研;diào yán;"research; investigation"
跌;diē;fall
定价;dìng jià;"fix a price; set price; fixed price; pricing"
定时;dìng shí;"timing; definite time"
定位;dìng wèi;"locate; location; positioning; registration"
动画;dòng huà;"cartoon; animation"
斗争;dòuzhēng;Struggle
都市;dū shì;"metropolis; city"
毒品;dúpǐn;narcotics
赌;dǔ;"gamble; bet"
赌博;dǔbó;gambling
渡;dù;"cross; ferry; tide over; ferry across; crossing"
端;duān;end
端午节;uānwǔjié;The Dragon Boat Festival
短片;duǎn piàn;short film
队伍;duìwu;Ranks
对抗;duìkàng;Combat
对外;duì wài;"foreign; external"
蹲;dūn;squat
多半;duō bàn;"most; the greater part; chiefly; probably"
多方面;duō fāng miàn;"multifaceted; in many aspects; many-sided"
多媒体;duō méi tǐ;multimedia
夺;duó;"seize; snatch; rob; contend for; deprive; decide"
夺取;duó qǔ;"seize; wrest; strive for; snatch; taking"
恩人;ēn rén;benefactor
儿科;ér kē;"pediatrics; pediatric department"
